term,proposed_topic,source_batch
Thermoacoustic instability,Aeroacoustics & Flow Noise,Batch 4
Helmholtz instability,Aeroacoustics & Flow Noise,Batch 4
Wind-induced microphone noise,Aeroacoustics & Flow Noise,Batch 4
Pressure turbulence,Wave Physics & Fields (Science),Batch 4
Hydrodynamic pressure fluctuation,Aeroacoustics & Flow Noise,Batch 4
Turbulent pressure spectrum,Aeroacoustics & Flow Noise,Batch 4
Wind-noise susceptibility,Aeroacoustics & Flow Noise,Batch 4
Structural acoustics,Structural Acoustics & Vibration,Batch 4
Vibroacoustic coupling,Structural Acoustics & Vibration,Batch 4
Fluid–structure interaction,Structural Acoustics & Vibration,Batch 4
Mechanical mobility,Structural Acoustics & Vibration,Batch 4
Driving-point mobility,Structural Acoustics & Vibration,Batch 4
Transfer mobility,Structural Acoustics & Vibration,Batch 4
Mechanical impedance,Structural Acoustics & Vibration,Batch 4
Point impedance,Structural Acoustics & Vibration,Batch 4
Dynamic stiffness,Structural Acoustics & Vibration,Batch 4
Modal stiffness,Structural Acoustics & Vibration,Batch 4
Modal mass,Structural Acoustics & Vibration,Batch 4
Modal damping,Structural Acoustics & Vibration,Batch 4
Loss factor,Structural Acoustics & Vibration,Batch 4
Structural loss factor,Structural Acoustics & Vibration,Batch 4
Damping ratio,Structural Acoustics & Vibration,Batch 4
Critical damping,Structural Acoustics & Vibration,Batch 4
Underdamping,Structural Acoustics & Vibration,Batch 4
Overdamping,Structural Acoustics & Vibration,Batch 4
Complex stiffness,Wave Physics & Fields (Science),Batch 4
Mechanical admittance,Structural Acoustics & Vibration,Batch 4
Accelerance,Structural Acoustics & Vibration,Batch 4
Inertance,Structural Acoustics & Vibration,Batch 4
Receptance,Structural Acoustics & Vibration,Batch 4
Frequency-response function,Wave Physics & Fields (Science),Batch 4
Operational deflection shape,Structural Acoustics & Vibration,Batch 4
Modal overlap,Structural Acoustics & Vibration,Batch 4
Modal participation factor,Structural Acoustics & Vibration,Batch 4
Effective modal mass,Structural Acoustics & Vibration,Batch 4
Eigenfrequency,Structural Acoustics & Vibration,Batch 4
Normal mode,Structural Acoustics & Vibration,Batch 4
Rigid-body mode,Structural Acoustics & Vibration,Batch 4
Bending mode,Structural Acoustics & Vibration,Batch 4
Torsional mode,Structural Acoustics & Vibration,Batch 4
Breathing mode,Structural Acoustics & Vibration,Batch 4
Breakup mode,Structural Acoustics & Vibration,Batch 4
Critical frequency,Wave Physics & Fields (Science),Batch 4
Stiffness-controlled region,Wave Physics & Fields (Science),Batch 4
Mass-controlled region,Wave Physics & Fields (Science),Batch 4
Damping-controlled region,Structural Acoustics & Vibration,Batch 4
Radiation efficiency,Structural Acoustics & Vibration,Batch 4
Radiation ratio,Structural Acoustics & Vibration,Batch 4
Structural wave impedance,Structural Acoustics & Vibration,Batch 4
Reciprocity transducer,Condenser & Measurement Mic Science,Batch 4
Reciprocal microphone,Microphone Transduction Principles,Batch 4
Nonreciprocal transducer,Microphone Transduction Principles,Batch 4
Electrostatic transduction,Microphone Transduction Principles,Batch 4
Electrodynamic transduction,Microphone Transduction Principles,Batch 4
Electromagnetic induction,Microphone Transduction Principles,Batch 4
Piezoelectric transduction,Microphone Transduction Principles,Batch 4
Piezoresistive transduction,Microphone Transduction Principles,Batch 4
Capacitive sensing,Microphone Transduction Principles,Batch 4
Optical interferometric sensing,Optical & Specialized Sensing,Batch 4
Fiber Bragg grating microphone,Optical & Specialized Sensing,Batch 4
Magnetostrictive sensing,Microphone Transduction Principles,Batch 4
Thermoacoustic sensing,Microphone Transduction Principles,Batch 4
Photoacoustic microphone,Optical & Specialized Sensing,Batch 4
Optoacoustic microphone,Optical & Specialized Sensing,Batch 4
Ionophone microphone,Optical & Specialized Sensing,Batch 4
Plasma microphone,Optical & Specialized Sensing,Batch 4
Microflown sensor,Optical & Specialized Sensing,Batch 4
Particle-velocity sensor,Microphone Transduction Principles,Batch 4
Pressure–velocity probe,Microphone Transduction Principles,Batch 4
Sound-intensity probe,Microphone Transduction Principles,Batch 4
Differential-pressure microphone,Microphone Transduction Principles,Batch 4
Pressure-gradient receiver,Microphone Transduction Principles,Batch 4
First-order gradient microphone,Microphone Transduction Principles,Batch 4
Second-order gradient microphone,Microphone Transduction Principles,Batch 4
Zero-order microphone,Microphone Transduction Principles,Batch 4
Higher-order microphone,Microphone Transduction Principles,Batch 4
Coincident microphone array,Microphone Directivity & Arrays (Science),Batch 4
Distributed microphone array,Microphone Directivity & Arrays (Science),Batch 4
Sparse microphone array,Microphone Directivity & Arrays (Science),Batch 4
Conformal microphone array,Microphone Directivity & Arrays (Science),Batch 4
Spherical microphone array,Microphone Directivity & Arrays (Science),Batch 4
Circular microphone array,Microphone Directivity & Arrays (Science),Batch 4
Planar microphone array,Microphone Directivity & Arrays (Science),Batch 4
Volumetric microphone array,Microphone Directivity & Arrays (Science),Batch 4
Externally polarized condenser microphone,Condenser & Measurement Mic Science,Batch 4
Prepolarized condenser microphone,Condenser & Measurement Mic Science,Batch 4
Permanently polarized microphone,Condenser & Measurement Mic Science,Batch 4
Electret polarization,Condenser & Measurement Mic Science,Batch 4
Back-electret microphone,Microphone Transduction Principles,Batch 4
Front-electret microphone,Microphone Transduction Principles,Batch 4
Foil-electret microphone,Microphone Transduction Principles,Batch 4
Surface potential,Microphone Transduction Principles,Batch 4
Polarization voltage,Condenser & Measurement Mic Science,Batch 4
Bias voltage,Microphone Transduction Principles,Batch 4
Diaphragm–backplate capacitance,Condenser & Measurement Mic Science,Batch 4
Static capacitance,Condenser & Measurement Mic Science,Batch 4
Capacitance variation,Condenser & Measurement Mic Science,Batch 4
Electrostatic attraction,Condenser & Measurement Mic Science,Batch 4
Diaphragm collapse,Condenser & Measurement Mic Science,Batch 4
Pull-in voltage,Condenser & Measurement Mic Science,Batch 4
Backplate perforation,Condenser & Measurement Mic Science,Batch 4
Venting time constant,Condenser & Measurement Mic Science,Batch 4
Pressure equalization vent,Microphone Transduction Principles,Batch 4
Barometric pressure coefficient,Condenser & Measurement Mic Science,Batch 4
Static-pressure coefficient,Condenser & Measurement Mic Science,Batch 4
Temperature coefficient,Condenser & Measurement Mic Science,Batch 4
Humidity coefficient,Condenser & Measurement Mic Science,Batch 4
Environmental sensitivity,Microphone Transduction Principles,Batch 4
Diaphragm resonance,Microphone Transduction Principles,Batch 4
Cavity resonance,Microphone Transduction Principles,Batch 4
Back-volume compliance,Condenser & Measurement Mic Science,Batch 4
Vent resistance,Condenser & Measurement Mic Science,Batch 4
Acoustic leakage,Microphone Transduction Principles,Batch 4
Protection-grid correction,Condenser & Measurement Mic Science,Batch 4
Grid diffraction,Condenser & Measurement Mic Science,Batch 4
Incidence correction,Condenser & Measurement Mic Science,Batch 4
Pressure-field correction,Condenser & Measurement Mic Science,Batch 4
Diffuse-field correction,Condenser & Measurement Mic Science,Batch 4
Random-incidence correction,Condenser & Measurement Mic Science,Batch 4
Laboratory standard microphone,Condenser & Measurement Mic Science,Batch 4
Working standard microphone,Condenser & Measurement Mic Science,Batch 4
Transfer standard microphone,Condenser & Measurement Mic Science,Batch 4
Sound-level-meter microphone,Microphone Transduction Principles,Batch 4
Half-inch measurement microphone,Microphone Transduction Principles,Batch 4
Quarter-inch measurement microphone,Microphone Transduction Principles,Batch 4
One-inch measurement microphone,Microphone Transduction Principles,Batch 4
Free-field microphone,Microphone Transduction Principles,Batch 4
Diffuse-field microphone,Microphone Transduction Principles,Batch 4
Low-frequency microphone,Microphone Transduction Principles,Batch 4
High-level microphone,Microphone Transduction Principles,Batch 4
Infrasonic microphone,Microphone Transduction Principles,Batch 4
Ultrasonic microphone,Microphone Transduction Principles,Batch 4
Complex sensitivity,Condenser & Measurement Mic Science,Batch 4
Pressure sensitivity,Condenser & Measurement Mic Science,Batch 4
Loaded sensitivity,Microphone Transduction Principles,Batch 4
Sensitivity level,Condenser & Measurement Mic Science,Batch 4
Phase sensitivity,Microphone Transduction Principles,Batch 4
Magnitude sensitivity,Microphone Transduction Principles,Batch 4
Reciprocity calibration,Condenser & Measurement Mic Science,Batch 4
Primary calibration,Condenser & Measurement Mic Science,Batch 4
Secondary calibration,Condenser & Measurement Mic Science,Batch 4
Comparison calibration,Condenser & Measurement Mic Science,Batch 4
Substitution calibration,Condenser & Measurement Mic Science,Batch 4
Simultaneous comparison,Microphone Transduction Principles,Batch 4
Electrostatic actuator calibration,Condenser & Measurement Mic Science,Batch 4
Pistonphone calibration,Condenser & Measurement Mic Science,Batch 4
Sound-calibrator verification,Microphone Transduction Principles,Batch 4
Insert-voltage technique,Condenser & Measurement Mic Science,Batch 4
Microphone reciprocity,Condenser & Measurement Mic Science,Batch 4
Reciprocity parameter,Condenser & Measurement Mic Science,Batch 4
Coupler reciprocity,Condenser & Measurement Mic Science,Batch 4
Free-field reciprocity,Condenser & Measurement Mic Science,Batch 4
Pressure reciprocity,Condenser & Measurement Mic Science,Batch 4
Calibration uncertainty,Condenser & Measurement Mic Science,Batch 4
Expanded uncertainty,Microphone Transduction Principles,Batch 4
Traceability chain,Microphone Transduction Principles,Batch 4
Reference environmental conditions,Microphone Transduction Principles,Batch 4
Calibration drift,Condenser & Measurement Mic Science,Batch 4
Equivalent acoustic noise,Microphone Noise & Electronics,Batch 4
Brownian noise,Microphone Noise & Electronics,Batch 4
Thermal noise,Microphone Noise & Electronics,Batch 4
Johnson–Nyquist noise,Microphone Noise & Electronics,Batch 4
Shot noise,Microphone Noise & Electronics,Batch 4
Flicker noise,Microphone Noise & Electronics,Batch 4
1/f noise,Microphone Noise & Electronics,Batch 4
Dielectric noise,Microphone Noise & Electronics,Batch 4
Preamplifier voltage noise,Microphone Noise & Electronics,Batch 4
Preamplifier current noise,Microphone Noise & Electronics,Batch 4
Noise spectral density,Microphone Noise & Electronics,Batch 4
Voltage-noise density,Microphone Noise & Electronics,Batch 4
Current-noise density,Microphone Noise & Electronics,Batch 4
Acoustic noise floor,Microphone Noise & Electronics,Batch 4
Integrated noise,Microphone Noise & Electronics,Batch 4
A-weighted self-noise,Microphone Noise & Electronics,Batch 4
Z-weighted self-noise,Microphone Noise & Electronics,Batch 4
Noise-equivalent pressure,Microphone Noise & Electronics,Batch 4
Minimum detectable pressure,Microphone Noise & Electronics,Batch 4
Minimum detectable signal,Microphone Noise & Electronics,Batch 4
Electrical clipping point,Microphone Transduction Principles,Batch 4
Total dynamic range,Microphone Transduction Principles,Batch 4
Inherent dynamic range,Microphone Transduction Principles,Batch 4
Maximum undistorted output,Microphone Transduction Principles,Batch 4
Source impedance,Microphone Noise & Electronics,Batch 4
Capacitive loading,Microphone Transduction Principles,Batch 4
Microphone preamplifier,Microphone Noise & Electronics,Batch 4
Junction field-effect transistor,Microphone Noise & Electronics,Batch 4
Bootstrapped input,Microphone Noise & Electronics,Batch 4
Constant-current powering,Microphone Noise & Electronics,Batch 4
Integrated Electronics Piezo-Electric,Microphone Transduction Principles,Batch 4
Integrated Circuit Piezoelectric,Microphone Transduction Principles,Batch 4
IEPE sensor,Microphone Noise & Electronics,Batch 4
Constant-current line drive,Microphone Noise & Electronics,Batch 4
Phantom powering,Microphone Noise & Electronics,Batch 4
Tonader powering,Microphone Noise & Electronics,Batch 4
Digital microphone interface,Microphone Transduction Principles,Batch 4
Pulse-density modulation microphone,MEMS Microphone Engineering,Batch 4
I2S microphone,Microphone Transduction Principles,Batch 4
Microelectromechanical microphone,Microphone Transduction Principles,Batch 4
MEMS diaphragm,MEMS Microphone Engineering,Batch 4
MEMS backplate,MEMS Microphone Engineering,Batch 4
Capacitive MEMS microphone,MEMS Microphone Engineering,Batch 4
Piezoelectric MEMS microphone,MEMS Microphone Engineering,Batch 4
Optical MEMS microphone,MEMS Microphone Engineering,Batch 4
Surface micromachining,MEMS Microphone Engineering,Batch 4
Bulk micromachining,MEMS Microphone Engineering,Batch 4
Deep reactive-ion etching,MEMS Microphone Engineering,Batch 4
Sacrificial layer,MEMS Microphone Engineering,Batch 4
Silicon-on-insulator,MEMS Microphone Engineering,Batch 4
Wafer-level packaging,MEMS Microphone Engineering,Batch 4
Acoustic port,Microphone Transduction Principles,Batch 4
Top-port microphone,Microphone Transduction Principles,Batch 4
Bottom-port microphone,Microphone Transduction Principles,Batch 4
Package cavity,Microphone Transduction Principles,Batch 4
Package leakage,Microphone Transduction Principles,Batch 4
MEMS ASIC,MEMS Microphone Engineering,Batch 4
Application-specific integrated circuit,Microphone Transduction Principles,Batch 4
Charge amplifier,Microphone Noise & Electronics,Batch 4
Sigma-delta modulator,MEMS Microphone Engineering,Batch 4
Pulse-density modulation,MEMS Microphone Engineering,Batch 4
Digital decimation,MEMS Microphone Engineering,Batch 4
Sensitivity tolerance,Microphone Transduction Principles,Batch 4
Part-to-part matching,MEMS Microphone Engineering,Batch 4
Phase matching,Microphone Transduction Principles,Batch 4
Array matching,Microphone Directivity & Arrays (Science),Batch 4
Radio-frequency immunity,Microphone Transduction Principles,Batch 4
Acoustic-overload recovery,Microphone Transduction Principles,Batch 4
Pop-noise suppression,Microphone Noise & Electronics,Batch 4
Wake-on-sound,MEMS Microphone Engineering,Batch 4
Always-on microphone,MEMS Microphone Engineering,Batch 4
Ultrasonic-band response,Microphone Transduction Principles,Batch 4
Dust ingress,MEMS Microphone Engineering,Batch 4
Particle ingress protection,MEMS Microphone Engineering,Batch 4
Hydrophobic acoustic membrane,MEMS Microphone Engineering,Batch 4
Acoustic mesh,MEMS Microphone Engineering,Batch 4
Waterproof acoustic vent,MEMS Microphone Engineering,Batch 4
Pressure-event robustness,Microphone Transduction Principles,Batch 4
Directivity pattern,Microphone Transduction Principles,Batch 4
Angular response,Microphone Transduction Principles,Batch 4
Azimuth response,Microphone Transduction Principles,Batch 4
Elevation response,Microphone Transduction Principles,Batch 4
Three-dimensional directivity,Microphone Transduction Principles,Batch 4
Front-to-back ratio,Microphone Transduction Principles,Batch 4
Front-to-random ratio,Microphone Transduction Principles,Batch 4
Null depth,Microphone Transduction Principles,Batch 4
Null angle,Microphone Transduction Principles,Batch 4
Acceptance angle,Microphone Transduction Principles,Batch 4
Half-power angle,Microphone Transduction Principles,Batch 4
Main lobe,Microphone Transduction Principles,Batch 4
Side lobe,Microphone Transduction Principles,Batch 4
Rear lobe,Microphone Transduction Principles,Batch 4
Grating lobe,Microphone Transduction Principles,Batch 4
Spatial aliasing,Microphone Transduction Principles,Batch 4
Beam squint,Microphone Transduction Principles,Batch 4
Frequency-invariant beamforming,Microphone Directivity & Arrays (Science),Batch 4
Pattern consistency,Microphone Transduction Principles,Batch 4
Polar-pattern invariance,Microphone Transduction Principles,Batch 4
Polar narrowing,Microphone Transduction Principles,Batch 4
Superdirectivity,Microphone Directivity & Arrays (Science),Batch 4
Directivity order,Microphone Transduction Principles,Batch 4
Spherical harmonic order,Microphone Transduction Principles,Batch 4
Legendre polynomial,Microphone Transduction Principles,Batch 4
Cardioid family,Microphone Transduction Principles,Batch 4
Bidirectional response,Microphone Transduction Principles,Batch 4
Figure-eight response,Microphone Transduction Principles,Batch 4
Shotgun interference tube,Microphone Noise & Electronics,Batch 4
Interference-tube slot,Microphone Transduction Principles,Batch 4
